image,target_xywh,target_cls,target_cls_fine,xywh,cls,conf
IMG_1246_jpg.rf.38cf94b2d431cc987b7e4e5cca6284e3,"[[0.4759375, 0.5254166666666666, 0.950625, 0.7291666666666666]]",[11],[21],"[[768.3343505859375, 609.4959716796875, 1536.668701171875, 834.696533203125]]",[11.0],[0.8981714844703674]
grape_F15a_jpg.rf.fdba83a96368e973060233cf0933cce5,"[[0.6457142857142857, 0.40304182509505704, 0.5314285714285715, 0.7300380228136882]]",[12],[29],"[[223.84349060058594, 108.15846252441406, 186.64303588867188, 179.7786865234375], [91.08926391601562, 117.35824584960938, 89.59173583984375, 166.185546875]]","[12.0, 11.0]","[0.8828536868095398, 0.6572806239128113]"
100983448_jpg.rf.bb0a965555b3a9ad0fdbdf18a20712b4,"[[0.5055803571428571, 0.5111607142857143, 0.8013392857142857, 0.9107142857142857]]",[11],[19],"[[229.26918029785156, 226.48468017578125, 369.5438537597656, 424.63262939453125]]",[11.0],[0.9251952171325684]
apples_apple-scab_02_thm_jpg.rf.e18ddff12303d35189e4b2a94e909ce2,"[[0.5652173913043478, 0.5058823529411764, 0.8347826086956521, 0.9882352941176471]]",[0],[0],"[[57.21027374267578, 42.061038970947266, 114.42054748535156, 82.23650360107422], [56.50002670288086, 41.78413772583008, 113.00005340576172, 82.42060089111328]]","[11.0, 0.0]","[0.7451807856559753, 0.5513503551483154]"
IMG_42231_jpg.rf.44819f6a13b00091220658704abdfb40,"[[0.5016850490196079, 0.6652369281045751, 0.9966299019607843, 0.6180555555555556]]",[4],[7],"[[1631.17626953125, 1563.5443115234375, 3262.3525390625, 1029.706298828125]]",[4.0],[0.8292842507362366]
depositphotos_6898486-stock-photo-grape-leaves_jpg.rf.d74ef302d652cd0b5bde40dafbab815c,"[[0.5166177908113392, 0.45139813581890814, 0.5855327468230694, 0.8681757656458056]]",[12],[28],"[[544.60400390625, 346.82806396484375, 646.4331665039062, 657.123291015625]]",[12.0],[0.9284604787826538]
peach-leaf-10223898_jpg.rf.c6cd7c21802f07cf2527424fbcfe44fa,"[[0.42528735632183906, 0.5280769230769231, 0.4117032392894462, 0.8207692307692308]]",[5],[10],"[[415.2607421875, 684.0069580078125, 451.62158203125, 1075.977294921875]]",[0.0],[0.8764684796333313]
sept4disease-019_jpg.rf.ba2802c1101091c3672e51c65aee99c4,"[[0.5302154492905938, 0.53601108033241, 0.931161324224908, 0.8407202216066482]]",[11],[20],"[[1000.4698486328125, 754.3914794921875, 1799.770263671875, 1190.546142578125]]",[11.0],[0.9560340642929077]
7-17-Photo3_Septoria-MARY_jpg.rf.45b5441028f4f795911a5ced0b1556cc,"[[0.9444444444444444, 0.8036211699164345, 0.1111111111111111, 0.33147632311977715], [0.10333333333333333, 0.3955431754874652, 0.20222222222222222, 0.7743732590529248], [0.33111111111111113, 0.6532033426183844, 0.13333333333333333, 0.43175487465181056], [0.6811111111111111, 0.4428969359331476, 0.46444444444444444, 0.8579387186629527]]","[11, 11, 11, 11]","[20, 20, 20, 20]","[[307.8264465332031, 165.41448974609375, 195.3363494873047, 317.1546630859375], [58.73978042602539, 142.15782165527344, 117.47956085205078, 284.3156433105469], [150.6915740966797, 229.85061645507812, 79.6982192993164, 149.48985290527344]]","[11.0, 11.0, 11.0]","[0.9152550101280212, 0.36577749252319336, 0.33378562331199646]"
11-40580_5_jpg.rf.ed4b75ecb0d751344e9c043671d3b71e,"[[0.345, 0.15, 0.145, 0.26], [0.13875, 0.3725, 0.2425, 0.395], [0.3225, 0.8075, 0.095, 0.215], [0.8125, 0.74, 0.165, 0.34], [0.71625, 0.495, 0.1675, 0.25], [0.24875, 0.42, 0.1375, 0.17], [0.415, 0.735, 0.17, 0.23], [0.42125, 0.4775, 0.1675, 0.195], [0.53625, 0.48, 0.1575, 0.33]]","[11, 11, 11, 11, 11, 11, 11, 11, 11]","[25, 25, 25, 25, 25, 25, 25, 25, 25]","[[322.245361328125, 147.34152221679688, 50.4461669921875, 72.87152099609375], [166.25917053222656, 94.78256225585938, 54.603118896484375, 36.622230529785156], [283.544921875, 103.29576873779297, 60.70013427734375, 47.59761047363281], [169.73544311523438, 144.76095581054688, 72.47721862792969, 51.032005310058594], [100.63186645507812, 84.80701446533203, 56.889915466308594, 31.178054809570312], [296.1079406738281, 14.54716968536377, 59.4547119140625, 28.34710121154785], [82.4068603515625, 184.95797729492188, 40.307518005371094, 30.08404541015625], [290.4658203125, 66.98401641845703, 47.581329345703125, 32.124786376953125], [134.37045288085938, 31.43465805053711, 63.31867980957031, 59.347877502441406], [213.8544464111328, 91.93994903564453, 63.65191650390625, 65.93132019042969], [240.58277893066406, 10.832140922546387, 38.325653076171875, 21.560678482055664], [186.31373596191406, 67.15859985351562, 52.297515869140625, 53.1622200012207], [30.21442413330078, 149.4381103515625, 38.17961883544922, 40.01881408691406], [212.71145629882812, 44.4521598815918, 45.02095031738281, 20.314903259277344], [187.14837646484375, 11.605627059936523, 48.28700256347656, 23.17154312133789], [16.121370315551758, 22.043020248413086, 32.242740631103516, 44.08604049682617]]","[11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0, 11.0]","[0.9113323092460632, 0.908937394618988, 0.9078736305236816, 0.8747068047523499, 0.8492008447647095, 0.8124735951423645, 0.7610291242599487, 0.5999587774276733, 0.5957982540130615, 0.5955920815467834, 0.5849921107292175, 0.5468192100524902, 0.5317253470420837, 0.5247266888618469, 0.34198540449142456, 0.3193371295928955]"
7190f27ead55c0f6e3ff8b982972810a5446a9713a49d_1260x1260_jpg.rf.e933dbb72c1f53e75125782983eeb563,"[[0.5213068181818182, 0.5035714285714286, 0.2831439393939394, 0.9563492063492064]]",[5],[10],"[[519.315185546875, 619.0247802734375, 264.89031982421875, 1184.99755859375]]",[5.0],[0.9272911548614502]
dscn6689_jpg.rf.d396b18953beffedf55ff8890f61e3bd,"[[0.50146484375, 0.5299479166666666, 0.7294921875, 0.7942708333333334]]",[11],[26],"[[495.80535888671875, 398.9326171875, 708.406494140625, 559.305419921875], [423.8150329589844, 608.3704223632812, 145.0830078125, 159.188720703125]]","[11.0, 11.0]","[0.9311835765838623, 0.30366969108581543]"
vaccinium-angustifolium-low-bush-blueberry_0830_124221_jpg.rf.11c5ad41a276205cc7bd104fac34edd4,"[[0.2861111111111111, 0.4462962962962963, 0.3972222222222222, 0.27037037037037037], [0.55625, 0.5407407407407407, 0.6180555555555556, 0.7444444444444445]]","[2, 2]","[5, 5]","[[202.18063354492188, 238.41966247558594, 299.83380126953125, 157.63583374023438], [59.79415512084961, 437.4776611328125, 119.58831024169922, 204.8275146484375]]","[0.0, 0.0]","[0.9004808068275452, 0.3657847046852112]"
2015070295153021_jpg.rf.60619798b3a13bd2127b4a2f9b51cd1a,"[[0.636437908496732, 0.5015318627450981, 0.7075163398692811, 0.9969362745098039]]",[4],[8],"[[759.0494995117188, 817.5897827148438, 927.6007080078125, 1628.8204345703125]]",[4.0],[0.9324871897697449]
grapes-leaves_jpg.rf.f1aa3d83625702417e8b4391ff4dda40,"[[0.47216796875, 0.5338541666666666, 0.6533203125, 0.8828125], [0.69482421875, 0.10677083333333333, 0.3330078125, 0.2109375], [0.08984375, 0.44140625, 0.171875, 0.5833333333333334]]","[12, 12, 12]","[28, 28, 28]","[[490.56866455078125, 401.4570007324219, 694.835693359375, 704.3673706054688], [691.4554443359375, 74.04044342041016, 316.45343017578125, 148.0808868408203], [96.34396362304688, 351.4549560546875, 192.42422485351562, 488.1440734863281]]","[12.0, 12.0, 12.0]","[0.9543735980987549, 0.4155625104904175, 0.3761816918849945]"
red-cherry-tree-leaf-isolated-crisp-white-background-35742030_jpg.rf.aa2444a9b4678deb3bd6aca40214ee01,"[[0.5592307692307692, 0.4014084507042254, 0.803076923076923, 0.5549295774647888]]",[3],[6],"[[699.2022705078125, 428.6224060058594, 1003.057373046875, 604.0183715820312]]",[0.0],[0.7975717782974243]
3023_jpg.rf.d6ef38092aaf3cc5051b504eaba3ef28,"[[0.5263671875, 0.5305989583333334, 0.27734375, 0.22786458333333334], [0.28857421875, 0.4114583333333333, 0.1611328125, 0.3645833333333333], [0.58740234375, 0.8255208333333334, 0.1650390625, 0.265625], [0.6865234375, 0.18815104166666666, 0.212890625, 0.22265625], [0.45849609375, 0.2506510416666667, 0.0712890625, 0.11328125], [0.1513671875, 0.5716145833333334, 0.177734375, 0.1171875]]","[6, 6, 6, 6, 6, 6]","[12, 12, 12, 12, 12, 12]","[[965.8187255859375, 109.73373413085938, 116.04534912109375, 169.9859619140625], [880.6879272460938, 65.92566680908203, 149.6553955078125, 129.0971221923828], [43.7519645690918, 729.2905883789062, 87.5039291381836, 71.856201171875], [970.2232666015625, 393.6172180175781, 107.5, 260.80560302734375], [305.47723388671875, 317.0107727050781, 169.38453674316406, 274.512939453125], [701.7643432617188, 152.3424530029297, 205.111328125, 183.84063720703125], [954.8460693359375, 27.66777992248535, 138.30780029296875, 55.08004379272461]]","[6.0, 6.0, 11.0, 6.0, 2.0, 6.0, 6.0]","[0.7491493821144104, 0.7427873611450195, 0.7048059701919556, 0.6206000447273254, 0.32949167490005493, 0.28849872946739197, 0.26399409770965576]"
leaves-of-raspberry-stock-picture-2529053_jpg.rf.88f6076f29ad669efbff67def3d4f5d5,"[[0.3728428701180745, 0.30064655172413796, 0.5059037238873751, 0.5150862068965517], [0.771117166212534, 0.4324712643678161, 0.368755676657584, 0.40948275862068967], [0.3374205267938238, 0.6612787356321839, 0.584014532243415, 0.22198275862068967]]","[7, 7, 7]","[14, 14, 14]","[[407.93243408203125, 416.9767150878906, 561.18896484375, 743.5372924804688], [373.0102844238281, 921.86279296875, 665.5274047851562, 318.682861328125], [839.4205322265625, 605.5626220703125, 423.01947021484375, 555.4610595703125]]","[7.0, 7.0, 7.0]","[0.9499316811561584, 0.9389642477035522, 0.9275315999984741]"
three-vibrant-leaves-bird-cherry-tree-13905898_jpg.rf.354518d6f9d73aee62a4450e132c6317,"[[0.2611538461538462, 0.43106995884773663, 0.42846153846153845, 0.602880658436214], [0.5338461538461539, 0.34310699588477367, 0.22153846153846155, 0.5565843621399177], [0.7588461538461538, 0.44753086419753085, 0.29, 0.6152263374485597]]","[3, 3, 3]","[6, 6, 6]","[[983.4991455078125, 415.98248291015625, 384.21478271484375, 437.8512878417969], [686.6766357421875, 315.2135925292969, 281.12701416015625, 551.3532104492188], [348.9309387207031, 412.5281066894531, 550.5908813476562, 572.0338745117188]]","[2.0, 2.0, 5.0]","[0.891399085521698, 0.833312451839447, 0.6373406648635864]"
730-grape-leaf-2560x1600-nature-wallpaper_jpg.rf.b876a53bfb81e1f068fc25127d5891c9,"[[0.5474609375, 0.4940625, 0.608203125, 0.959375]]",[12],[28],"[[1430.564453125, 812.3602294921875, 1539.9208984375, 1559.33154296875]]",[12.0],[0.9458968043327332]
rose_tree_220430_jpg.rf.b758c918dd5a3440ff8a3059e46e56cf,"[[0.474, 0.505, 0.444, 0.99]]",[5],[10],"[[244.81304931640625, 249.63951110839844, 228.0655975341797, 499.2790222167969], [246.01025390625, 249.6915740966797, 229.72540283203125, 498.4007873535156]]","[3.0, 5.0]","[0.4198722243309021, 0.3616790175437927]"
Powdery-Mildew-on-squash_jpg.rf.1f42160839e21bf2a2cd1392de077443,"[[0.505, 0.47575250836120403, 0.99, 0.8377926421404682]]",[9],[17],"[[400.0, 297.89910888671875, 800.0, 522.5079345703125]]",[9.0],[0.9756475687026978]
everystockphoto-21099455-l_jpg.rf.bee9830f466ad5ea51150e3955ce13ac,"[[0.5, 0.5866666666666667, 0.936, 0.7466666666666667]]",[11],[24],"[[261.4897766113281, 211.48622131347656, 474.15045166015625, 322.3858337402344], [262.2229309082031, 212.10986328125, 475.4761962890625, 321.89385986328125]]","[11.0, 0.0]","[0.7975528240203857, 0.3700083792209625]"
80104747_jpg.rf.ea55dab59d2f5f540990e8f23fca50d4,"[[0.5057096247960848, 0.5007142857142857, 0.9885807504078303, 0.9985714285714286]]",[4],[9],"[[300.8297424316406, 349.1315002441406, 494.29730224609375, 697.3417358398438]]",[4.0],[0.9428094029426575]
leaf-raspberry-isolated-on-a-white-stock-photography-image-10106222-1625198_jpg.rf.7e3ab37521b69489b4b6671d90e973c9,"[[0.5023961661341853, 0.2561538461538462, 0.2763578274760383, 0.3261538461538461], [0.6086261980830671, 0.4592307692307692, 0.31629392971246006, 0.21076923076923076], [0.3039137380191693, 0.4280769230769231, 0.2915335463258786, 0.22692307692307692], [0.26916932907348246, 0.7073076923076923, 0.3546325878594249, 0.2453846153846154], [0.6473642172523961, 0.7138461538461538, 0.3889776357827476, 0.23846153846153847]]","[8, 8, 8, 8, 8]","[15, 15, 15, 15, 15]","[[624.490234375, 330.7174987792969, 358.0355224609375, 427.8842468261719], [758.5248413085938, 597.6466064453125, 420.2562255859375, 267.2898254394531], [374.592041015625, 558.888671875, 362.65673828125, 295.0190124511719], [339.69219970703125, 919.2314453125, 459.2637939453125, 319.2978515625], [806.7303466796875, 935.0123901367188, 487.31439208984375, 321.0513916015625]]","[7.0, 7.0, 7.0, 7.0, 7.0]","[0.9514589309692383, 0.9398810863494873, 0.9256289005279541, 0.7144909501075745, 0.6036261320114136]"
squashsilver2_JPG_jpg.rf.b0825f42a8f46e056accf3e5e016a84c,[],[],[],"[[567.7484741210938, 449.7120361328125, 988.6678466796875, 892.937744140625]]",[9.0],[0.8791139125823975]
9343310-small_jpg.rf.32f51699e9cf9e265318099b96fe1666,"[[0.5548387096774193, 0.5024271844660194, 0.6580645161290323, 0.616504854368932]]",[0],[2],"[[85.53813171386719, 100.33378601074219, 98.352294921875, 130.17431640625], [60.544708251953125, 186.02169799804688, 115.94052124023438, 39.95661926269531]]","[0.0, 0.0]","[0.9399282932281494, 0.8044455051422119]"
-2320-Bacterial-Spot-and-Speck_jpg.rf.9d63c6e88cb474baa4d4eab1681f6d41,"[[0.2453125, 0.4111111111111111, 0.36354166666666665, 0.2777777777777778]]",[11],[22],"[[233.45724487304688, 289.2884826660156, 340.69549560546875, 207.9043731689453]]",[11.0],[0.9372886419296265]
five-cherry-tree-green-leaves-white-isolated-background-34493587_jpg.rf.3a5b4d01b7bc472fe3a73c45d2ddec1a,"[[0.2446705426356589, 0.455, 0.3246124031007752, 0.59], [0.37112403100775193, 0.708076923076923, 0.3062015503875969, 0.46076923076923076], [0.7097868217054264, 0.5261538461538462, 0.30910852713178294, 0.5061538461538462], [0.5542635658914729, 0.683076923076923, 0.28488372093023256, 0.5538461538461539]]","[3, 3, 3, 3]","[6, 6, 6, 6]","[[240.85821533203125, 604.9812622070312, 356.197998046875, 776.305419921875], [363.2617492675781, 934.8964233398438, 325.30535888671875, 588.8006591796875], [739.5225219726562, 675.1904296875, 343.790771484375, 664.4006958007812]]","[0.0, 0.0, 0.0]","[0.9120688438415527, 0.9071686863899231, 0.369727224111557]"
50-20Leafmold-20Top_jpg.rf.2e1e53a8d2fb2ed4e4c37f455c183683,"[[0.498015873015873, 0.49691358024691357, 0.8373015873015873, 0.8827160493827161]]",[11],[26],"[[127.42637634277344, 77.06830596923828, 210.56442260742188, 133.51722717285156]]",[11.0],[0.9322004318237305]
northern-highbush-blueberry-blue-huckleberry-vaccinium-corymbosum-EHNXRR_jpg.rf.4f3397912abcb27a9f399510a043c2ad,"[[0.4797687861271676, 0.4827338129496403, 0.8069364161849711, 0.7784172661870503]]",[2],[5],"[[415.10235595703125, 625.1921997070312, 677.8052978515625, 976.3441162109375]]",[2.0],[0.9731010794639587]
P1200665-Vaccinium-alaskaense-vs-ovalifolium-leaf-and-twig-cr_jpg.rf.a752e824ac003adc816868b6c73bebe6,"[[0.3496875, 0.514808362369338, 0.243125, 0.7456445993031359], [0.6496875, 0.5069686411149826, 0.249375, 0.6376306620209059]]","[2, 2]","[5, 5]","[[1041.980224609375, 568.7973022460938, 380.4141845703125, 725.748291015625], [552.287353515625, 599.6342163085938, 389.35931396484375, 900.4219970703125]]","[2.0, 2.0]","[0.9385997653007507, 0.9303076267242432]"
DSCN1015_JPG_jpg.rf.5b686730458226da5d0d94d4df2acb1e,"[[0.7746875, 0.23625, 0.419375, 0.37583333333333335], [0.491875, 0.45208333333333334, 0.2525, 0.4008333333333333], [0.163125, 0.20416666666666666, 0.325, 0.35833333333333334]]","[11, 11, 11]","[21, 21, 21]","[[266.5394287109375, 234.54913330078125, 533.078857421875, 452.896484375], [691.7974853515625, 858.1557006835938, 307.31207275390625, 487.5855712890625], [1234.580810546875, 278.3277893066406, 693.3192138671875, 438.2724914550781], [793.7354736328125, 559.56396484375, 389.51031494140625, 481.57012939453125], [796.4265747070312, 122.69017791748047, 253.4747314453125, 244.73777770996094], [620.3408203125, 370.2476501464844, 198.86492919921875, 235.33953857421875]]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.9125962853431702, 0.8942558169364929, 0.8809431791305542, 0.8560011386871338, 0.8529075980186462, 0.8302834630012512]"
prunus-virginiana-le-gmittelhauser_jpg.rf.f053ccd9efd02e28a7201212e0c51e37,"[[0.5059920106524634, 0.5195, 0.9161118508655126, 0.947]]",[3],[6],"[[378.58905029296875, 517.9689331054688, 675.7236328125, 962.3541259765625]]",[0.0],[0.9526107907295227]
strawberry-leaves-collection-white-background-36684676_jpg.rf.4005b5eeeb6d4ab884c40858ea959565,"[[0.645, 0.6891418563922942, 0.225, 0.5026269702276708], [0.775, 0.4290718038528897, 0.3475, 0.36777583187390545], [0.21875, 0.4956217162872154, 0.38, 0.29071803852889666], [0.296875, 0.22942206654991243, 0.28625, 0.3117338003502627], [0.406875, 0.6068301225919439, 0.19125, 0.44658493870402804], [0.506875, 0.38003502626970226, 0.22875, 0.3362521891418564]]","[10, 10, 10, 10, 10, 10]","[18, 18, 18, 18, 18, 18]","[[231.50100708007812, 131.7591552734375, 217.88336181640625, 183.3640594482422], [177.60247802734375, 280.0400390625, 299.63970947265625, 164.41343688964844], [516.5218505859375, 383.717041015625, 188.65875244140625, 303.622314453125], [630.787109375, 240.49331665039062, 279.161376953125, 197.27659606933594], [325.97918701171875, 339.89202880859375, 169.42398071289062, 285.8574523925781], [405.48809814453125, 218.98321533203125, 195.95040893554688, 180.67919921875]]","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.9458775520324707, 0.9265876412391663, 0.923294723033905, 0.9186170697212219, 0.893263578414917, 0.8804971575737]"
peach-leaf-isolated-white-background-42295220_jpg.rf.be9661fc41ebb0d94a3eeef8a5464364,"[[0.5165384615384615, 0.24698189134808854, 0.6884615384615385, 0.3772635814889336], [0.4757692307692308, 0.6504024144869215, 0.8407692307692308, 0.33903420523138833]]","[5, 5]","[10, 10]","[[632.4749145507812, 656.2805786132812, 1063.1507568359375, 328.3583068847656], [667.485595703125, 257.5303955078125, 903.75634765625, 376.2083740234375]]","[5.0, 5.0]","[0.9356884360313416, 0.9294652342796326]"
earlyblight21__jpg.rf.6dcab3b35202af61132ba53bc8c410a9,"[[0.42928403755868544, 0.5314700704225352, 0.4536384976525822, 0.6879401408450704]]",[11],[19],"[[753.1690673828125, 1221.964599609375, 875.50537109375, 1534.7469482421875]]",[11.0],[0.9194344282150269]
H5w92_jpg.rf.9a5e0d9ac90bf68a6452e82a033b083e,"[[0.5383986928104575, 0.4840686274509804, 0.9125816993464052, 0.8314950980392157]]",[1],[4],"[[1307.883544921875, 1572.609619140625, 2272.865234375, 2647.94970703125]]",[1.0],[0.4597393274307251]
1321189_jpg.rf.72d7076cd8ddfe5d29c2df136a88d33d,"[[0.5016949152542373, 0.5025, 0.9966101694915255, 0.915]]",[4],[8],"[[295.0, 106.53819274902344, 590.0, 185.81173706054688]]",[4.0],[0.9115546345710754]
90e2c0_jpg.rf.587f6224a18e90b62f6cd591a67767e1,"[[0.5235, 0.4204801200300075, 0.579, 0.7794448612153039]]",[11],[21],"[[521.3555297851562, 630.5201416015625, 646.6740112304688, 1199.728515625], [885.990478515625, 1149.852783203125, 223.2574462890625, 365.9190673828125], [887.4539794921875, 1150.2386474609375, 225.09210205078125, 364.45751953125]]","[11.0, 6.0, 9.0]","[0.8738178610801697, 0.6030406355857849, 0.4903164207935333]"
iron-deficiency-raspberry-leaf-chlorosis-isolated-32457798_jpg.rf.4bfe7511d2b370aa6bb30f4ee19d6e07,"[[0.491971454058876, 0.3, 0.6003568242640499, 0.5307692307692308], [0.7020517395182873, 0.7023076923076923, 0.4103479036574487, 0.27384615384615385], [0.25735950044603034, 0.6888461538461539, 0.4950936663693131, 0.28692307692307695]]","[7, 7, 7]","[14, 14, 14]","[[540.2877807617188, 391.0596923828125, 605.1824340820312, 697.63671875], [282.1117248535156, 890.513427734375, 540.7955932617188, 361.25238037109375], [775.8544921875, 904.971435546875, 474.3575439453125, 336.380859375]]","[7.0, 7.0, 7.0]","[0.9395909905433655, 0.9241690039634705, 0.9025810360908508]"
phytophthora-infestans-potato-blight-first-foliar-symptoms-on-solanum-EJKRCK_jpg.rf.0b2b672321b053926d3a522509e58968,"[[0.4647806004618938, 0.4697841726618705, 0.32909930715935337, 0.21151079136690648]]",[6],[13],"[[393.02117919921875, 640.1487426757812, 270.2198791503906, 267.7173767089844], [303.2044677734375, 799.771240234375, 326.0323486328125, 205.69580078125]]","[6.0, 6.0]","[0.9415660500526428, 0.8459495306015015]"
Shoemaker_7068_JPG_jpg.rf.fc3bb10297aa7548ba0b57ee39611f53,"[[0.5133333333333333, 0.4166666666666667, 0.9733333333333334, 0.48333333333333334]]",[11],[19],"[[315.8662414550781, 246.5828399658203, 518.9600219726562, 309.6336364746094]]",[11.0],[0.7430006265640259]
stock-photo-cultivar-marrow-leaf-strongly-affected-with-a-powdery-mildew-in-the-summer-garden-707948062_jpg.rf.a23a88ad9bfa477280290df75bff0ab7,"[[0.42333333333333334, 0.4921875, 0.6422222222222222, 0.890625]]",[9],[17],"[[196.9568328857422, 159.39764404296875, 287.4159851074219, 277.8096923828125], [415.224853515625, 62.44792175292969, 69.55029296875, 120.59962463378906], [372.5504150390625, 244.04983520507812, 154.186767578125, 111.48359680175781]]","[9.0, 9.0, 9.0]","[0.9194637537002563, 0.7706706523895264, 0.5940532684326172]"
e52bbb9a08ede2948ba0c006f02fe7b053ad7831d1df6_1260x1260_jpg.rf.5753876bb5a1c304ae9fbc6bdd6cb053,"[[0.6538825757575758, 0.3678571428571429, 0.3210227272727273, 0.696031746031746], [0.4910037878787879, 0.44246031746031744, 0.3816287878787879, 0.5706349206349206], [0.3300189393939394, 0.5555555555555556, 0.3248106060606061, 0.48253968253968255]]","[3, 3, 3]","[6, 6, 6]","[[350.7382507324219, 772.1327514648438, 371.67352294921875, 700.7689208984375], [679.4779052734375, 451.3782958984375, 329.771240234375, 881.9453125], [682.5638427734375, 455.54107666015625, 327.55194091796875, 881.289306640625]]","[3.0, 3.0, 7.0]","[0.8492429852485657, 0.6595693826675415, 0.36141860485076904]"
late_blight_tomato_leaf_spore1x1200_jpg.rf.f5b22acf51e3b55e170c35f7f86c6f33,"[[0.26708333333333334, 0.7483588621444202, 0.41083333333333333, 0.4223194748358862], [0.7445833333333334, 0.6772428884026258, 0.5108333333333334, 0.5492341356673961], [0.6345833333333334, 0.312363238512035, 0.7308333333333333, 0.4934354485776805]]","[11, 11, 11]","[23, 23, 23]","[[897.9378662109375, 597.8006591796875, 601.5037231445312, 521.9158935546875], [742.5770874023438, 253.24786376953125, 911.7735595703125, 422.70037841796875]]","[11.0, 11.0]","[0.939888596534729, 0.7474496364593506]"
E-29Tomato-late-blight-foliar_jpg.rf.bfc8b96af9b557efee57cdf99ae0936c,"[[0.90625, 0.5683333333333334, 0.1875, 0.83], [0.3575, 0.19666666666666666, 0.415, 0.38], [0.5275, 0.53, 0.395, 0.9133333333333333]]","[11, 11, 11]","[23, 23, 23]","[[214.14361572265625, 162.60928344726562, 146.430419921875, 274.78143310546875], [357.61944580078125, 177.7845458984375, 84.7232666015625, 244.1763458251953], [141.355224609375, 68.76962280273438, 163.52505493164062, 137.51583862304688]]","[11.0, 11.0, 11.0]","[0.9032835364341736, 0.8272431492805481, 0.5306467413902283]"
Black-20rot-20on-20foliage2_jpg.rf.2e0322eb4c84dca36ff088362110e8ee,"[[0.5415094339622641, 0.48427672955974843, 0.8660377358490566, 0.9308176100628931]]",[12],[29],"[[584.7906494140625, 397.2381896972656, 792.03759765625, 766.1316528320312], [140.97943115234375, 365.9743347167969, 281.9588623046875, 428.54412841796875]]","[12.0, 12.0]","[0.9436218738555908, 0.8920627236366272]"
squash-leave-w-powd-mild_jpg.rf.9eecbd9c8fd105d79d7a06a709f4335e,"[[0.51025, 0.506, 0.84, 0.988]]",[9],[17],"[[1960.61328125, 1501.2442626953125, 3391.837890625, 2984.837158203125], [302.424560546875, 1129.059326171875, 604.84912109375, 1381.455810546875]]","[9.0, 9.0]","[0.9407567977905273, 0.381076842546463]"
000_jpg.rf.e32ba3f04d1e855e58b1b3f5475cf1e5,"[[0.5830078125, 0.4830729166666667, 0.673828125, 0.9635416666666666]]",[1],[4],"[[583.165771484375, 384.2895812988281, 712.2680053710938, 767.4208374023438]]",[1.0],[0.9624161720275879]
RARZ4_jpg.rf.3d405cb67ea7a282dfca9e226396ce45,"[[0.6065, 0.392875, 0.189, 0.16425], [0.7868333333333334, 0.52075, 0.3526666666666667, 0.223], [0.2185, 0.44325, 0.41233333333333333, 0.389]]","[11, 11, 11]","[20, 20, 20]","[[1303.5704345703125, 1667.781494140625, 2607.140869140625, 1374.2086181640625], [2929.22900390625, 3266.9794921875, 1247.586669921875, 778.52001953125], [4474.5322265625, 2912.611328125, 1296.537841796875, 736.006591796875], [3670.279296875, 1663.486083984375, 756.26904296875, 615.2933349609375]]","[11.0, 11.0, 11.0, 11.0]","[0.9000510573387146, 0.8729426860809326, 0.8575723171234131, 0.3793734312057495]"
piano-20gully-20spray-20seed-20damage-2006-20-289-29_JPG_jpg.rf.88e8911876952a9d4b1a20f2fdecf9f3,"[[0.485, 0.5029166666666667, 0.93, 0.9941666666666666]]",[12],[29],"[[801.0215454101562, 601.6812744140625, 1589.9739990234375, 1192.284423828125]]",[12.0],[0.9652326107025146]
5816740026_d42ef24413_Phytophthora-Infestans_jpg.rf.8745c360a93921f2fbd3f0f0a720c3b8,"[[0.493993993993994, 0.568, 0.5135135135135135, 0.692]]",[6],[13],"[[159.90426635742188, 271.4925842285156, 179.73556518554688, 355.94134521484375]]",[11.0],[0.8812404274940491]
01_jpg.rf.132567152237e39d0c9a6f61dfc88873,"[[0.75, 0.6127348643006263, 0.21786833855799373, 0.511482254697286]]",[1],[4],"[[470.9468688964844, 292.177001953125, 127.86505126953125, 251.72262573242188]]",[1.0],[0.9428487420082092]
tomato_virus_04_zoom_jpg.rf.12ed63f89007aee05ece6010dd76ddaa,"[[0.6327777777777778, 0.7985185185185185, 0.2611111111111111, 0.21333333333333335], [0.21222222222222223, 0.2325925925925926, 0.2911111111111111, 0.42074074074074075], [0.6611111111111111, 0.4777777777777778, 0.47333333333333333, 0.29777777777777775]]","[11, 11, 11]","[24, 24, 24]","[[200.81277465820312, 145.33438110351562, 265.54351806640625, 284.0106201171875], [611.4906005859375, 305.64288330078125, 426.0686950683594, 191.00650024414062], [594.3981323242188, 538.8367309570312, 242.95730590820312, 150.49813842773438]]","[11.0, 11.0, 11.0]","[0.9434945583343506, 0.8321779370307922, 0.6763239502906799]"
2540_600_jpg.rf.0868234a16426ddf6d6df0b005cc1203,"[[0.5525, 0.46405919661733613, 0.7, 0.864693446088795]]",[6],[13],"[[220.38818359375, 229.39627075195312, 278.44415283203125, 447.50128173828125]]",[11.0],[0.7152503728866577]
